message,attributes,tags,timestamp
"    return view_func(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242722095Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242725525Z
"  File ""/usr/local/lib/python3.11/site-packages/django/views/generic/base.py"", line 104, in view","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242729165Z
"    return self.dispatch(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242732765Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242736035Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 515, in dispatch","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242739865Z
    response = self.handle_exception(exc),"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242743075Z
               ^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242746405Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 475, in handle_exception","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242749845Z
    self.raise_uncaught_exception(exc),"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242753095Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 486, in raise_uncaught_exception","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242756145Z
    raise exc,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242759575Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 512, in dispatch","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242765295Z
"    response = handler(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242768455Z
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242771545Z
"  File ""/app/crm_app/views.py"", line 153, in post","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242774515Z
    from crm_app.whatsapp_webhook_handler import processar_webhook_whatsapp,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242777595Z
"  File ""/app/crm_app/whatsapp_webhook_handler.py"", line 483","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242780715Z
    try:,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242784985Z
IndentationError: unexpected indent,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.242788695Z
"ERROR 2026-01-30 08:02:10,472 log Internal Server Error: /api/crm/webhook-whatsapp/","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518117970Z
Traceback (most recent call last):,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518121960Z
"  File ""/usr/local/lib/python3.11/site-packages/django/core/handlers/exception.py"", line 55, in inner","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518128300Z
    response = get_response(request),"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518131950Z
               ^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518136120Z
"  File ""/usr/local/lib/python3.11/site-packages/django/core/handlers/base.py"", line 197, in _get_response","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518140250Z
"    response = wrapped_callback(request, *callback_args, **callback_kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518143980Z
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518147880Z
"  File ""/usr/local/lib/python3.11/site-packages/django/views/decorators/csrf.py"", line 65, in _view_wrapper","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518151380Z
"    return view_func(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518154800Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518158149Z
"  File ""/usr/local/lib/python3.11/site-packages/django/views/generic/base.py"", line 104, in view","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518161529Z
"    return self.dispatch(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518165199Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518168739Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 515, in dispatch","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518172359Z
    response = self.handle_exception(exc),"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518176299Z
               ^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518182159Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 486, in raise_uncaught_exception","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518183229Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 475, in handle_exception","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518188259Z
    raise exc,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518190649Z
"  File ""/usr/local/lib/python3.11/site-packages/rest_framework/views.py"", line 512, in dispatch","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518193459Z
"    response = handler(request, *args, **kwargs)","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518196069Z
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518200769Z
    self.raise_uncaught_exception(exc),"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518203379Z
"  File ""/app/crm_app/views.py"", line 153, in post","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518206449Z
    from crm_app.whatsapp_webhook_handler import processar_webhook_whatsapp,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518209239Z
"  File ""/app/crm_app/whatsapp_webhook_handler.py"", line 483","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518211939Z
    try:,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518214969Z
IndentationError: unexpected indent,"{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:10.518217759Z
"ERROR 2026-01-30 08:02:12,694 log Internal Server Error: /api/crm/webhook-whatsapp/","{""level"":""error""}","{""project"":""7171eee1-2c6e-446a-b7a9-880d3786c51a"",""environment"":""8f157a2b-2cad-4084-8cd4-dc384f810fa5"",""service"":""4e96e4c9-648b-43c2-ad1f-68614ff2a013"",""deployment"":""da785e62-ee1b-4cbd-91e5-8a2183d32a42"",""replica"":""d902780a-8daf-468b-b1e1-a885a0289084""}",2026-01-30T11:02:12.712368449Z
